,Nominal GMV,Realized Cash Flow
2017-01,37894.57,3811.9835
2017-02,62168.35,24571.236555555555
2017-03,103406.89,44965.734202380954
2017-04,91297.72,61107.59321428571
2017-05,136846.02,78174.24858333333
2017-06,129798.5,91381.35842460317
2017-07,160528.0,111717.61250396825
2017-08,194119.43,130478.96209018759
2017-09,249088.14,158187.49651479078
2017-10,257560.8,184079.66274891776
2017-11,364057.0,215185.99522907648
2017-12,268778.15,291873.43113292265
2018-01,287535.24,274126.40086112905
2018-02,233205.61000000002,251127.10843544363
2018-03,330874.33,298873.22566193936
2018-04,273170.55,286348.92476536374
2018-05,273771.96,297007.9485559898
2018-06,197421.45,255181.82992900565
2018-07,187027.04,241357.32062209034
2018-08,189667.9,225257.7192326187
