category_eng,month,total_sales,market_avg_price,seller_count,market_avg_sales
agro_industry_and_commerce,2017-01,3,21.99,1,3.0
agro_industry_and_commerce,2017-02,7,32.12,2,3.5
agro_industry_and_commerce,2017-03,2,40.995000000000005,2,1.0
agro_industry_and_commerce,2017-05,4,394.985,2,2.0
agro_industry_and_commerce,2017-06,1,1390.0,1,1.0
agro_industry_and_commerce,2017-07,1,1180.0,1,1.0
agro_industry_and_commerce,2017-08,4,22.0,1,4.0
agro_industry_and_commerce,2017-09,4,498.4975,2,2.0
agro_industry_and_commerce,2017-10,5,670.0559999999999,5,1.0
agro_industry_and_commerce,2017-11,19,733.2889473684211,5,3.8
agro_industry_and_commerce,2017-12,11,481.06363636363636,5,2.2
agro_industry_and_commerce,2018-01,18,325.1911111111111,5,3.6
agro_industry_and_commerce,2018-02,27,274.2518518518519,5,5.4
agro_industry_and_commerce,2018-03,28,214.96428571428572,4,7.0
agro_industry_and_commerce,2018-04,12,375.05833333333334,5,2.4
agro_industry_and_commerce,2018-05,8,409.96875,5,1.6
agro_industry_and_commerce,2018-06,10,351.58000000000004,7,1.4285714285714286
agro_industry_and_commerce,2018-07,30,258.5563333333333,17,1.7647058823529411
agro_industry_and_commerce,2018-08,18,278.94944444444445,12,1.5
air_conditioning,2016-10,10,170.709,2,5.0
air_conditioning,2017-01,4,165.925,3,1.3333333333333333
air_conditioning,2017-02,12,257.94166666666666,4,3.0
air_conditioning,2017-03,17,241.40058823529415,4,4.25
air_conditioning,2017-04,16,161.389375,6,2.6666666666666665
air_conditioning,2017-05,8,127.09625,7,1.1428571428571428
air_conditioning,2017-06,11,189.49818181818182,6,1.8333333333333333
air_conditioning,2017-07,5,279.22,4,1.25
air_conditioning,2017-08,15,284.782,8,1.875
air_conditioning,2017-09,8,216.38125,6,1.3333333333333333
air_conditioning,2017-10,12,213.535,5,2.4
air_conditioning,2017-11,19,214.55894736842106,11,1.7272727272727273
air_conditioning,2017-12,3,222.9333333333333,3,1.0
air_conditioning,2018-01,29,161.19793103448276,12,2.4166666666666665
air_conditioning,2018-02,12,218.9075,7,1.7142857142857142
air_conditioning,2018-03,25,106.7032,11,2.272727272727273
air_conditioning,2018-04,23,141.81695652173912,11,2.090909090909091
air_conditioning,2018-05,15,136.74666666666664,6,2.5
air_conditioning,2018-06,15,237.86,7,2.142857142857143
air_conditioning,2018-07,17,156.34470588235294,9,1.8888888888888888
air_conditioning,2018-08,21,169.3761904761905,13,1.6153846153846154
art,2017-03,5,44.65,4,1.25
art,2017-04,1,119.9,1,1.0
art,2017-05,8,870.95625,5,1.6
art,2017-06,10,42.17,4,2.5
art,2017-07,3,128.91666666666666,3,1.0
art,2017-08,4,61.175,2,2.0
art,2017-09,3,129.51333333333332,3,1.0
art,2017-10,3,116.35000000000001,3,1.0
art,2017-11,1,75.0,1,1.0
art,2017-12,3,38.416666666666664,3,1.0
art,2018-01,19,133.72473684210527,5,3.8
art,2018-02,13,96.28538461538461,4,3.25
art,2018-03,7,65.92857142857143,6,1.1666666666666667
art,2018-04,26,82.31846153846153,9,2.888888888888889
art,2018-05,36,74.77388888888889,7,5.142857142857143
art,2018-06,28,89.29071428571429,9,3.111111111111111
art,2018-07,21,87.77142857142856,4,5.25
art,2018-08,18,82.29944444444443,4,4.5
arts_and_craftmanship,2017-05,1,21.99,1,1.0
arts_and_craftmanship,2017-07,1,129.9,1,1.0
arts_and_craftmanship,2018-04,1,15.99,1,1.0
arts_and_craftmanship,2018-05,1,89.8,1,1.0
arts_and_craftmanship,2018-07,11,59.50636363636364,6,1.8333333333333333
arts_and_craftmanship,2018-08,9,100.19555555555556,7,1.2857142857142858
audio,2016-10,2,78.495,1,2.0
audio,2017-02,5,32.760000000000005,4,1.25
audio,2017-03,14,81.05499999999999,5,2.8
audio,2017-04,11,85.65454545454546,4,2.75
audio,2017-05,17,122.42235294117646,7,2.4285714285714284
audio,2017-06,11,151.9090909090909,2,5.5
audio,2017-07,7,110.24142857142859,6,1.1666666666666667
audio,2017-08,8,137.575,6,1.3333333333333333
audio,2017-09,10,104.25900000000001,7,1.4285714285714286
audio,2017-10,32,73.39,5,6.4
audio,2017-11,36,102.14527777777778,10,3.6
audio,2017-12,17,158.05470588235295,8,2.125
audio,2018-01,26,146.93384615384616,10,2.6
audio,2018-02,15,188.56599999999997,6,2.5
audio,2018-03,34,311.96147058823533,6,5.666666666666667
audio,2018-04,31,227.26032258064515,7,4.428571428571429
audio,2018-05,21,128.46095238095236,5,4.2
audio,2018-06,20,91.53450000000001,5,4.0
audio,2018-07,22,93.75636363636363,6,3.6666666666666665
audio,2018-08,26,79.5923076923077,3,8.666666666666666
auto,2016-10,12,152.77083333333334,11,1.0909090909090908
auto,2017-01,34,153.48617647058822,16,2.125
auto,2017-02,87,151.69310344827588,35,2.4857142857142858
auto,2017-03,87,166.46057471264368,34,2.5588235294117645
auto,2017-04,88,176.68375,38,2.3157894736842106
auto,2017-05,128,148.471328125,43,2.9767441860465116
auto,2017-06,112,280.0954464285714,28,4.0
auto,2017-07,120,118.55616666666667,42,2.857142857142857
auto,2017-08,166,123.01873493975904,48,3.4583333333333335
auto,2017-09,108,134.67287037037036,40,2.7
